JTBD Step,JTBD Big Job,Key Pain Points,Mapping note,Phase,Sub-step,Primary user,Other actors,Theme,Opportunity title,Evidence,Notes
1. Plan,Plan the best approach to accept payments in-store in new markets according to my budget,,Direct mapping — Journey A phase 1 (Exploration).,1. Exploration,1.a Preparation,Merchant,Adyen Sales,,,,"Pre-Adyen research, no setting interaction"
1. Plan,Plan the best approach to accept payments in-store in new markets according to my budget,,Direct mapping — Journey A phase 1 (Exploration).,1. Exploration,1.b Account Setup & Decision,Merchant,"Adyen Sales, IM",T1. Scalable Configuration Foundation,O1. Flexible configuration scoping,"Account structure forces manual overhead for franchises, regional groups, multi-brand setups.",Account structure rigidity baked in here
2. Validate / Test,Validate the planned POS solution to see if it fulfills my business needs,API credentials management not straightforward | Not all terminals available at all times / terminal shortage | Merchants don't know when terminals will be delivered | Hundreds of possible settings - high learning curve | Boarding not intuitive if terminals not pre-assigned in CA / Mgmt API | Merchants unsure how to configure and afraid of making mistakes | Impact of reboots and maintenance calls is unclear | No overview of all settings or overrides | Technical complexity means merchants need a lot of help from Adyen,Direct mapping — Journey A phase 2 (Test & Integration).,2. Test & Integration,2.a Initial Ordering,Merchant,"Adyen Sales, Warehouse",,,,Hardware logistics
2. Validate / Test,Validate the planned POS solution to see if it fulfills my business needs,API credentials management not straightforward | Not all terminals available at all times / terminal shortage | Merchants don't know when terminals will be delivered | Hundreds of possible settings - high learning curve | Boarding not intuitive if terminals not pre-assigned in CA / Mgmt API | Merchants unsure how to configure and afraid of making mistakes | Impact of reboots and maintenance calls is unclear | No overview of all settings or overrides | Technical complexity means merchants need a lot of help from Adyen,Direct mapping — Journey A phase 2 (Test & Integration).,2. Test & Integration,2.b Test Terminal Delivery,Merchant,"Warehouse, Courier",,,,Hardware arrives at merchant
2. Validate / Test,Validate the planned POS solution to see if it fulfills my business needs,API credentials management not straightforward | Not all terminals available at all times / terminal shortage | Merchants don't know when terminals will be delivered | Hundreds of possible settings - high learning curve | Boarding not intuitive if terminals not pre-assigned in CA / Mgmt API | Merchants unsure how to configure and afraid of making mistakes | Impact of reboots and maintenance calls is unclear | No overview of all settings or overrides | Technical complexity means merchants need a lot of help from Adyen,Direct mapping — Journey A phase 2 (Test & Integration).,2. Test & Integration,2.c Test Configuration,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,"First encounter with 1,000+ settings"
2. Validate / Test,Validate the planned POS solution to see if it fulfills my business needs,API credentials management not straightforward | Not all terminals available at all times / terminal shortage | Merchants don't know when terminals will be delivered | Hundreds of possible settings - high learning curve | Boarding not intuitive if terminals not pre-assigned in CA / Mgmt API | Merchants unsure how to configure and afraid of making mistakes | Impact of reboots and maintenance calls is unclear | No overview of all settings or overrides | Technical complexity means merchants need a lot of help from Adyen,Direct mapping — Journey A phase 2 (Test & Integration).,2. Test & Integration,2.c Test Configuration,Merchant,"IM, Support",T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,Misread names land here
2. Validate / Test,Validate the planned POS solution to see if it fulfills my business needs,API credentials management not straightforward | Not all terminals available at all times / terminal shortage | Merchants don't know when terminals will be delivered | Hundreds of possible settings - high learning curve | Boarding not intuitive if terminals not pre-assigned in CA / Mgmt API | Merchants unsure how to configure and afraid of making mistakes | Impact of reboots and maintenance calls is unclear | No overview of all settings or overrides | Technical complexity means merchants need a lot of help from Adyen,Direct mapping — Journey A phase 2 (Test & Integration).,2. Test & Integration,2.c Test Configuration,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",No TEST→LIVE promotion
2. Validate / Test,Validate the planned POS solution to see if it fulfills my business needs,API credentials management not straightforward | Not all terminals available at all times / terminal shortage | Merchants don't know when terminals will be delivered | Hundreds of possible settings - high learning curve | Boarding not intuitive if terminals not pre-assigned in CA / Mgmt API | Merchants unsure how to configure and afraid of making mistakes | Impact of reboots and maintenance calls is unclear | No overview of all settings or overrides | Technical complexity means merchants need a lot of help from Adyen,Direct mapping — Journey A phase 2 (Test & Integration).,2. Test & Integration,2.d Testing,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,Override patterns emerge
2. Validate / Test,Validate the planned POS solution to see if it fulfills my business needs,API credentials management not straightforward | Not all terminals available at all times / terminal shortage | Merchants don't know when terminals will be delivered | Hundreds of possible settings - high learning curve | Boarding not intuitive if terminals not pre-assigned in CA / Mgmt API | Merchants unsure how to configure and afraid of making mistakes | Impact of reboots and maintenance calls is unclear | No overview of all settings or overrides | Technical complexity means merchants need a lot of help from Adyen,Direct mapping — Journey A phase 2 (Test & Integration).,2. Test & Integration,2.d Testing,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",No rollback capability
3. Scale / Go Live & Rollout,Scale my validated POS solution to all stores in the shortest period of time so all stores can process transactions on opening day,,Direct mapping — Journey A phase 3 (Migration to LIVE).,3. Migration to LIVE,3.a Ordering & Delivery,Merchant,"Warehouse, Courier",,,,Logistics
3. Scale / Go Live & Rollout,Scale my validated POS solution to all stores in the shortest period of time so all stores can process transactions on opening day,,Direct mapping — Journey A phase 3 (Migration to LIVE).,3. Migration to LIVE,3.b Terminal Delivery,Merchant,"Warehouse, Courier",,,,Bulk hardware arrives
3. Scale / Go Live & Rollout,Scale my validated POS solution to all stores in the shortest period of time so all stores can process transactions on opening day,,Direct mapping — Journey A phase 3 (Migration to LIVE).,3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O1. Flexible configuration scoping,"Account structure forces manual overhead for franchises, regional groups, multi-brand setups.",HIGHEST LEVERAGE — 5 opps converge
3. Scale / Go Live & Rollout,Scale my validated POS solution to all stores in the shortest period of time so all stores can process transactions on opening day,,Direct mapping — Journey A phase 3 (Migration to LIVE).,3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O2. Scalable deployment of settings & assets,No bulk apply across merchant accounts/stores; deploying configs and assets is manual at fleet scale.,HIGHEST LEVERAGE — 5 opps converge
3. Scale / Go Live & Rollout,Scale my validated POS solution to all stores in the shortest period of time so all stores can process transactions on opening day,,Direct mapping — Journey A phase 3 (Migration to LIVE).,3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,HIGHEST LEVERAGE — 5 opps converge
3. Scale / Go Live & Rollout,Scale my validated POS solution to all stores in the shortest period of time so all stores can process transactions on opening day,,Direct mapping — Journey A phase 3 (Migration to LIVE).,3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,HIGHEST LEVERAGE — 5 opps converge
3. Scale / Go Live & Rollout,Scale my validated POS solution to all stores in the shortest period of time so all stores can process transactions on opening day,,Direct mapping — Journey A phase 3 (Migration to LIVE).,3. Migration to LIVE,3.c Initial Configuration ⭐,Merchant,"IM, Support",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",HIGHEST LEVERAGE — 5 opps converge
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B1. Platform setup,B1.a Platform orders bulk hardware,Platform (AfP),"Adyen Sales, Warehouse",,,,Bulk hardware order placed
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B1. Platform setup,B1.b Define packaging & branding,Platform (AfP),"Adyen Ops, Supply Chain",T2. End-to-end Device Experience,O8. Branded packaging & preboarding,"Platforms carry shipping, branding, preboarding overhead outside core business.","Platforms want branded packaging, hand off logistics"
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B2. Preboarding,B2.a Preboard at warehouse,Warehouse,"Adyen Ops, Platform",T2. End-to-end Device Experience,O8. Branded packaging & preboarding,"Platforms carry shipping, branding, preboarding overhead outside core business.","Preboarding service — Fresha 4h/day, Palisis 30% ops time"
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B2. Preboarding,B2.b Insert activation guide & QR codes,Warehouse,Platform,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,"Topper, stickers, QR codes in box"
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B3. Delivery,B3.a Dropship to submerchant,Courier,"Warehouse, Platform",,,,Logistics
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B3. Delivery,B3.b Submerchant receives package,Submerchant,Courier,T2. End-to-end Device Experience,O8. Branded packaging & preboarding,"Platforms carry shipping, branding, preboarding overhead outside core business.",Branding affects delivery acceptance
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B4. Activation ⭐,B4.a Unbox terminal,Submerchant,Platform support,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,"First impression, branding"
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B4. Activation ⭐,B4.b Connect Wi-Fi & enter passcode,Submerchant,Platform support,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,Tide: 200 tickets/month from passcode alone
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B4. Activation ⭐,B4.c First boot & software updates,Submerchant,Platform support,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,Munu: confusing updates → failed onboardings
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B4. Activation ⭐,B4.d First test transaction,Submerchant,Platform support,T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,Activation success moment
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B5. BAU,B5.a Day-to-day use,Submerchant,Platform support,,,,Normal operation
4. Secure every possible in-store sale,Secure every possible in-store sale,Lack of visibility into terminal failure rates makes forecasting harder | Lack of visibility in available terminal stock (e.g. P400) complicates ordering | No direct Adyen point of contact with IPP expertise slows ordering | Lack of visibility in logistics creates manual overhead | No incentive to recollect inactive terminals from churned sub-merchants | Redistributing terminals not actively supported by Adyen | Resetting terminals to factory settings is not intuitive | Refurbishment not part of Adyen offering,Mapped from Journey B — AfP submerchant onboarding (activation focus).,B5. BAU,B5.b Replacement cycle,Submerchant,"Platform, Warehouse, Adyen Ops",T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,AfP submerchants face activation again
5. Ramp up,Ramp up,,No research sub-steps mapped to this job yet.,,,,,,,,
6. Increase shopper retention,Increase shopper retention with the best payment experience,"Customization term has no single meaning, causing confusion across teams | Displaying various brands confuses sub-merchants about who to contact | Platforms see lack of customization as a missed branding and marketing opportunity",No research sub-steps mapped to this job yet.,,,,,,,,
7. Streamline operations,Streamline operational work in stores to reduce costs,,Mapped from Journey A phase 4.a (BAU routine configuration).,4. BAU / Troubleshooting,4.a Routine Configuration,Merchant,Store staff,T1. Scalable Configuration Foundation,O2. Scalable deployment of settings & assets,No bulk apply across merchant accounts/stores; deploying configs and assets is manual at fleet scale.,Edits compound
7. Streamline operations,Streamline operational work in stores to reduce costs,,Mapped from Journey A phase 4.a (BAU routine configuration).,4. BAU / Troubleshooting,4.a Routine Configuration,Merchant,Store staff,T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,
7. Streamline operations,Streamline operational work in stores to reduce costs,,Mapped from Journey A phase 4.a (BAU routine configuration).,4. BAU / Troubleshooting,4.a Routine Configuration,Merchant,Store staff,T3. Self-service and Clarity,O6. Merchant self-service & role-based access,Many settings require Adyen support intervention; access controls within merchant org are missing.,
7. Streamline operations,Streamline operational work in stores to reduce costs,,Mapped from Journey A phase 4.a (BAU routine configuration).,4. BAU / Troubleshooting,4.a Routine Configuration,Merchant,Store staff,T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,
8. Stay competitive,Stay competitive in payment experience with the most innovative solutions,Merchants not aware of all new features Adyen offers | Hard to communicate a growing feature set | Merchants afraid firmware updates will cause malfunctions,No research sub-steps mapped to this job yet.,,,,,,,,
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,4. BAU / Troubleshooting,4.b First Troubleshooting ⭐,Merchant,"Store staff, Support",T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,Where 15% support target lives
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,4. BAU / Troubleshooting,4.b First Troubleshooting ⭐,Merchant,"Store staff, Support",T3. Self-service and Clarity,O6. Merchant self-service & role-based access,Many settings require Adyen support intervention; access controls within merchant org are missing.,Where 15% support target lives
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,4. BAU / Troubleshooting,4.b First Troubleshooting ⭐,Merchant,"Store staff, Support",T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,Where 15% support target lives
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,4. BAU / Troubleshooting,4.b First Troubleshooting ⭐,Merchant,"Store staff, Support",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",Where 15% support target lives
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,5. Terminal Replacements,5.a Malfunction & Replacement Ordering,Merchant,"Support, Warehouse",T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",Version history matters
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,5. Terminal Replacements,5.b Setting Up Replacements in Store,Merchant,"Store staff, Warehouse",T1. Scalable Configuration Foundation,O2. Scalable deployment of settings & assets,No bulk apply across merchant accounts/stores; deploying configs and assets is manual at fleet scale.,Replacement config inheritance
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,5. Terminal Replacements,5.b Setting Up Replacements in Store,Merchant,"Store staff, Warehouse",T2. End-to-end Device Experience,O4. Submerchant activation kit,Activation is the #1 pain for AfP platforms; manual workarounds at scale.,AfP submerchants only
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,5. Terminal Replacements,5.c FM Configuration,Merchant,Support,T1. Scalable Configuration Foundation,O3. Settings transparency & override management,73% override at device level; inheritance logic is opaque; no overview of what's set where.,"Same as 3.c, smaller scope"
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,5. Terminal Replacements,5.c FM Configuration,Merchant,Support,T3. Self-service and Clarity,O7. Setting taxonomy & shared language,No shared definitions; misleading names; unclear merchant-facing vs internal classification.,
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,5. Terminal Replacements,5.c FM Configuration,Merchant,Support,T1. Scalable Configuration Foundation,O10. Configuration lifecycle controls,"No scheduling, no TEST↔LIVE parity, no rollback for setting changes.",
9. Ensure fleet is always operational,Ensure my fleet is always operational,"Merchants not autonomous - rely on support and commercial teams | No proactive way to discover what is going wrong | No immediate support channel for emergencies when shoppers are blocked | Troubleshooting manually done by platforms and time-consuming | Lack of quick support and Adyen expertise when terminal is defective | No access to terminal logs, leading to unnecessary replacements | Insufficient communication from Adyen about recurring problems | Warranty policy insufficient; warranty process cumbersome; Adyen SLA does not match immediate replacement needs | Platforms rely on costly third parties; TRS too expensive; no EDI/API connection; manual handling time-consuming | Accessory replacement not included in TRS - extra costs for platforms",Mapped from Journey A phases 4.b (troubleshooting) & 5 (terminal replacements).,5. Terminal Replacements,5.d Return Faulty Terminals,Merchant,"Warehouse, Courier",,,,Logistics
